DescriptionLabelTextbox,DescriptionTextbox,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,This reports provides an asset manager summary view of a collection of computers.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header_Table0_ComputerName,Header_Table0_DomainWorkgroup,Header_Table0_SMSSiteName,Header_Table0_TopConsoleUser,Header_Table0_OperatingSystem,Header_Table0_ServicePackLevel,Header_Table0_SerialNumber,Header_Table0_AssetTag,Header_Table0_Manufacturer,Header_Table0_Model,Header_Table0_MemoryKBytes,Header_Table0_ProcessorGHz,Header_Table0_DiskSpaceMB,Header_Table0_FreeDiskSpaceMB,Details_Table0_ComputerName,Details_Table0_DomainWorkgroup,Details_Table0_SMSSiteName,Details_Table0_TopConsoleUser,Details_Table0_OperatingSystem,Details_Table0_ServicePackLevel,Details_Table0_SerialNumber,Details_Table0_AssetTag,Details_Table0_Manufacturer,Details_Table0_Model,Details_Table0_MemoryKBytes,Details_Table0_ProcessorGHz,Details_Table0_DiskSpaceMB,Details_Table0_FreeDiskSpaceMB
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23023-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG9250540,5CG9250540,HP,HP EliteBook 840 G5,7736536,1700,243256,67078
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23104-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG8123S9T,5CG8123S9T,HP,HP EliteBook 840 G5,7740632,1700,242453,86845
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23146-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG5373K4T,5CG5373K4T,Hewlett-Packard,HP EliteBook 840 G2,7765100,2300,170763,16900
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23198-W102,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG5373HLN,5CG5373HLN,Hewlett-Packard,HP EliteBook 840 G2,16153708,2300,170763,82869
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23352-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,8CG83223QW,8CG83223QW,HP,HP EliteDesk 800 G3 DM 35W,7769288,2500,243256,138772
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23358-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG8123SSR,,HP,HP EliteBook 840 G5,8232136,1700,243256,82361
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23362-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG5140CT9,5CG5140CT9,Hewlett-Packard,HP EliteBook 840 G2,7765100,2300,170763,2974
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23423-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG62217Q0,5CG62217Q0,HP,HP EliteBook 840 G3,7769784,2400,243256,179157
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23435-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG7012W0X,5CG7012W0X,HP,HP EliteBook 840 G3,7706808,2400,243279,111311
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B23668-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG9043J64,5CG9043J64,HP,HP EliteBook 850 G5,8232152,1700,243256,102270
